GEO_ID,NAME,B05012_002E
06033,"Lake County, California",519
06019,"Fresno County, California",45966
06025,"Imperial County, California",1052
06065,"Riverside County, California",52792
06067,"Sacramento County, California",96133
06071,"San Bernardino County, California",48857
06111,"Ventura County, California",21181
06115,"Yuba County, California",2897
06021,"Glenn County, California",320
06083,"Santa Barbara County, California",10205
06103,"Tehama County, California",318
06017,"El Dorado County, California",3068
06057,"Nevada County, California",774
06085,"Santa Clara County, California",208930
06097,"Sonoma County, California",7199
06101,"Sutter County, California",4993
06031,"Kings County, California",1966
06037,"Los Angeles County, California",469287
06113,"Yolo County, California",13751
06041,"Marin County, California",6168
06007,"Butte County, California",4438
06013,"Contra Costa County, California",64331
06047,"Merced County, California",9152
06073,"San Diego County, California",136467
06075,"San Francisco County, California",101563
06089,"Shasta County, California",2138
06099,"Stanislaus County, California",11821
06029,"Kern County, California",14313
06081,"San Mateo County, California",76891
06087,"Santa Cruz County, California",5868
06093,"Siskiyou County, California",323
06095,"Solano County, California",25207
06107,"Tulare County, California",6958
06001,"Alameda County, California",155629
06035,"Lassen County, California",235
06053,"Monterey County, California",10618
06109,"Tuolumne County, California",322
06039,"Madera County, California",1349
06059,"Orange County, California",206417
06069,"San Benito County, California",560
06015,"Del Norte County, California",266
06055,"Napa County, California",4294
06005,"Amador County, California",186
06023,"Humboldt County, California",1655
06045,"Mendocino County, California",709
06061,"Placer County, California",10276
06077,"San Joaquin County, California",45724
06079,"San Luis Obispo County, California",5962
0400000US06,California,1900755
